seed,model,description,fold,features,f1_macro,f1_micro,f1_weighted
14159,Random Forest,forward,1,"['distance_geometry_1_1', 'distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_4_2', 'distance_geometry_4_3', 'distance_geometry_4_4', 'distance_geometry_5_1', 'distance_geometry_5_3', 'distance_geometry_5_4', 'angles_meanse', 'angles_quant_min', 'angles_quant_10', 'angles_quant_25', 'angles_kurt', 'speed_0s', 'speed_mean', 'speed_quant_min', 'speed_quant_10', 'speed_quant_75', 'speed_quant_95', 'speed_quant_max', 'speed_sd', 'speed_vcoef', 'speed_mad', 'speed_skew', 'speed_kurt', 'acceleration_0s', 'acceleration_mean', 'acceleration_meanse', 'acceleration_quant_10', 'acceleration_quant_median', 'acceleration_quant_95', 'acceleration_quant_max', 'acceleration_range', 'acceleration_vcoef', 'acceleration_kurt']",0.7991888379819415,0.7985611510791367,0.7987521726048147
14159,Random Forest,forward,2,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_2_2', 'distance_geometry_3_2', 'distance_geometry_4_1', 'distance_geometry_4_4', 'distance_geometry_5_1', 'distance_geometry_5_2', 'distance_geometry_5_3', 'distance_geometry_5_4', 'angles_meanse', 'angles_quant_05', 'angles_quant_75', 'angles_quant_90', 'angles_range', 'angles_sd', 'angles_vcoef', 'angles_mad', 'speed_mean', 'speed_meanse', 'speed_quant_min', 'speed_quant_05', 'speed_quant_10', 'speed_quant_75', 'speed_quant_90', 'speed_quant_95', 'speed_quant_max', 'speed_vcoef', 'acceleration_0s', 'acceleration_quant_median', 'acceleration_quant_75', 'acceleration_quant_90', 'acceleration_range', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_skew']",0.7695806680881307,0.7697841726618705,0.7692674267999082
14159,Random Forest,forward,3,"['distance_geometry_1_1', 'distance_geometry_2_2', 'distance_geometry_4_2', 'distance_geometry_4_3', 'distance_geometry_5_1', 'distance_geometry_5_2', 'distance_geometry_5_3', 'distance_geometry_5_4', 'angles_0s', 'angles_meanse', 'angles_quant_05', 'angles_quant_25', 'angles_quant_75', 'angles_quant_95', 'angles_quant_max', 'angles_sd', 'angles_kurt', 'speed_0s', 'speed_quant_05', 'speed_quant_10', 'speed_quant_75', 'speed_quant_95', 'speed_quant_max', 'speed_sd', 'speed_vcoef', 'speed_kurt', 'acceleration_0s', 'acceleration_mean', 'acceleration_meanse', 'acceleration_quant_min', 'acceleration_quant_05', 'acceleration_quant_median', 'acceleration_quant_95', 'acceleration_range', 'acceleration_mad', 'acceleration_iqr']",0.7039495516430324,0.697841726618705,0.6933464346388754
14159,Random Forest,forward,4,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_2_2', 'distance_geometry_3_2', 'distance_geometry_4_1', 'distance_geometry_4_4', 'distance_geometry_5_2', 'distance_geometry_5_4', 'distance_geometry_5_5', 'angles_0s', 'angles_meanse', 'angles_quant_min', 'angles_quant_05', 'angles_quant_10', 'angles_quant_90', 'angles_quant_95', 'angles_quant_max', 'angles_range', 'angles_vcoef', 'angles_iqr', 'speed_0s', 'speed_meanse', 'speed_quant_min', 'speed_quant_05', 'speed_quant_25', 'speed_quant_75', 'speed_quant_95', 'speed_quant_max', 'speed_mad', 'acceleration_quant_10', 'acceleration_quant_median', 'acceleration_quant_75', 'acceleration_quant_90', 'acceleration_sd', 'acceleration_vcoef', 'acceleration_mad']",0.722705163102063,0.7266187050359713,0.719282017394168
14159,Random Forest,forward,5,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_3_3', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_4_3', 'distance_geometry_4_4', 'distance_geometry_5_1', 'distance_geometry_5_4', 'angles_quant_min', 'angles_quant_05', 'angles_quant_max', 'angles_range', 'speed_0s', 'speed_mean', 'speed_quant_05', 'speed_quant_median', 'speed_quant_75', 'speed_quant_95', 'speed_quant_max', 'speed_mad', 'speed_kurt', 'acceleration_0s', 'acceleration_mean', 'acceleration_meanse', 'acceleration_quant_25', 'acceleration_quant_median', 'acceleration_quant_75', 'acceleration_quant_95', 'acceleration_range', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_iqr', 'acceleration_kurt']",0.7710678210678211,0.7608695652173914,0.7616077963904051
26535,Random Forest,forward,1,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_3_3', 'distance_geometry_4_1', 'distance_geometry_4_3', 'distance_geometry_4_4', 'distance_geometry_5_1', 'angles_0s', 'angles_meanse', 'angles_quant_05', 'angles_quant_10', 'angles_quant_median', 'angles_quant_95', 'angles_range', 'angles_sd', 'angles_vcoef', 'speed_meanse', 'speed_quant_05', 'speed_quant_10', 'speed_quant_25', 'speed_quant_75', 'speed_quant_95', 'speed_quant_max', 'speed_range', 'speed_sd', 'speed_skew', 'speed_kurt', 'acceleration_quant_min', 'acceleration_quant_10', 'acceleration_quant_75', 'acceleration_range', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_skew']",0.6814993085617091,0.6762589928057554,0.6745671019223735
26535,Random Forest,forward,2,"['distance_geometry_1_1', 'distance_geometry_2_2', 'distance_geometry_4_2', 'distance_geometry_4_3', 'distance_geometry_5_1', 'distance_geometry_5_3', 'distance_geometry_5_5', 'angles_0s', 'angles_meanse', 'angles_quant_min', 'angles_quant_10', 'angles_quant_95', 'angles_range', 'speed_mean', 'speed_meanse', 'speed_quant_min', 'speed_quant_05', 'speed_quant_10', 'speed_quant_75', 'speed_quant_95', 'speed_quant_max', 'speed_range', 'speed_sd', 'speed_iqr', 'speed_kurt', 'acceleration_0s', 'acceleration_mean', 'acceleration_meanse', 'acceleration_quant_min', 'acceleration_quant_05', 'acceleration_quant_10', 'acceleration_quant_25', 'acceleration_quant_median', 'acceleration_quant_90', 'acceleration_skew', 'acceleration_kurt']",0.7593939393939394,0.7553956834532374,0.7548506649226073
26535,Random Forest,forward,3,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_3_2', 'distance_geometry_3_3', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_5_1', 'distance_geometry_5_4', 'distance_geometry_5_5', 'angles_quant_min', 'angles_quant_05', 'angles_quant_10', 'angles_quant_25', 'angles_quant_90', 'angles_quant_max', 'angles_sd', 'angles_skew', 'speed_0s', 'speed_meanse', 'speed_quant_05', 'speed_quant_25', 'speed_quant_75', 'speed_quant_90', 'speed_quant_95', 'speed_quant_max', 'speed_range', 'speed_iqr', 'speed_kurt', 'acceleration_meanse', 'acceleration_quant_min', 'acceleration_quant_10', 'acceleration_quant_95', 'acceleration_vcoef', 'acceleration_mad']",0.7496766432374656,0.7338129496402878,0.7339742304223033
26535,Random Forest,forward,4,"['distance_geometry_1_1', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_5_1', 'distance_geometry_5_2', 'distance_geometry_5_3', 'distance_geometry_5_4', 'angles_quant_05', 'angles_quant_10', 'angles_quant_75', 'angles_quant_90', 'angles_quant_95', 'angles_vcoef', 'angles_mad', 'speed_mean', 'speed_meanse', 'speed_quant_min', 'speed_quant_10', 'speed_quant_25', 'speed_quant_median', 'speed_quant_75', 'speed_quant_95', 'speed_vcoef', 'speed_kurt', 'acceleration_0s', 'acceleration_mean', 'acceleration_meanse', 'acceleration_quant_min', 'acceleration_quant_05', 'acceleration_quant_10', 'acceleration_quant_median', 'acceleration_quant_75', 'acceleration_quant_90', 'acceleration_range', 'acceleration_sd', 'acceleration_vcoef']",0.8311435361195451,0.8273381294964028,0.8258239872993518
26535,Random Forest,forward,5,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_3_2', 'distance_geometry_4_1', 'distance_geometry_4_4', 'distance_geometry_5_1', 'distance_geometry_5_2', 'distance_geometry_5_3', 'distance_geometry_5_4', 'distance_geometry_5_5', 'angles_mean', 'angles_meanse', 'angles_quant_min', 'angles_quant_05', 'angles_quant_10', 'angles_quant_95', 'angles_range', 'angles_iqr', 'angles_kurt', 'speed_0s', 'speed_mean', 'speed_quant_05', 'speed_quant_95', 'speed_quant_max', 'speed_sd', 'speed_vcoef', 'speed_kurt', 'acceleration_mean', 'acceleration_quant_min', 'acceleration_quant_10', 'acceleration_quant_25', 'acceleration_quant_median', 'acceleration_sd', 'acceleration_vcoef']",0.7856768787640743,0.782608695652174,0.7829350577395251
