seed,model,description,fold,features,f1_macro,f1_micro,f1_weighted
14159,Random Forest + Tuning,forward,1,"['distance_geometry_1_1', 'distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_4_2', 'distance_geometry_4_3', 'distance_geometry_4_4', 'distance_geometry_5_1', 'distance_geometry_5_3', 'distance_geometry_5_4', 'angles_meanse', 'angles_quant_min', 'angles_quant_10', 'angles_quant_25', 'angles_kurt', 'speed_0s', 'speed_mean', 'speed_quant_min', 'speed_quant_10', 'speed_quant_75', 'speed_quant_95', 'speed_quant_max', 'speed_sd', 'speed_vcoef', 'speed_mad', 'speed_skew', 'speed_kurt', 'acceleration_0s', 'acceleration_mean', 'acceleration_meanse', 'acceleration_quant_10', 'acceleration_quant_median', 'acceleration_quant_95', 'acceleration_quant_max', 'acceleration_range', 'acceleration_vcoef', 'acceleration_kurt']",0.7977886483728183,0.7985611510791367,0.7984782577994631
14159,Random Forest + Tuning,forward,2,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_2_2', 'distance_geometry_3_2', 'distance_geometry_4_1', 'distance_geometry_4_4', 'distance_geometry_5_1', 'distance_geometry_5_2', 'distance_geometry_5_3', 'distance_geometry_5_4', 'angles_meanse', 'angles_quant_05', 'angles_quant_75', 'angles_quant_90', 'angles_range', 'angles_sd', 'angles_vcoef', 'angles_mad', 'speed_mean', 'speed_meanse', 'speed_quant_min', 'speed_quant_05', 'speed_quant_10', 'speed_quant_75', 'speed_quant_90', 'speed_quant_95', 'speed_quant_max', 'speed_vcoef', 'acceleration_0s', 'acceleration_quant_median', 'acceleration_quant_75', 'acceleration_quant_90', 'acceleration_range', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_skew']",0.7717060636245201,0.7697841726618705,0.7693898898650715
14159,Random Forest + Tuning,forward,3,"['distance_geometry_1_1', 'distance_geometry_2_2', 'distance_geometry_4_2', 'distance_geometry_4_3', 'distance_geometry_5_1', 'distance_geometry_5_2', 'distance_geometry_5_3', 'distance_geometry_5_4', 'angles_0s', 'angles_meanse', 'angles_quant_05', 'angles_quant_25', 'angles_quant_75', 'angles_quant_95', 'angles_quant_max', 'angles_sd', 'angles_kurt', 'speed_0s', 'speed_quant_05', 'speed_quant_10', 'speed_quant_75', 'speed_quant_95', 'speed_quant_max', 'speed_sd', 'speed_vcoef', 'speed_kurt', 'acceleration_0s', 'acceleration_mean', 'acceleration_meanse', 'acceleration_quant_min', 'acceleration_quant_05', 'acceleration_quant_median', 'acceleration_quant_95', 'acceleration_range', 'acceleration_mad', 'acceleration_iqr']",0.7037405303030303,0.697841726618705,0.6919950403313713
14159,Random Forest + Tuning,forward,4,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_2_2', 'distance_geometry_3_2', 'distance_geometry_4_1', 'distance_geometry_4_4', 'distance_geometry_5_2', 'distance_geometry_5_4', 'distance_geometry_5_5', 'angles_0s', 'angles_meanse', 'angles_quant_min', 'angles_quant_05', 'angles_quant_10', 'angles_quant_90', 'angles_quant_95', 'angles_quant_max', 'angles_range', 'angles_vcoef', 'angles_iqr', 'speed_0s', 'speed_meanse', 'speed_quant_min', 'speed_quant_05', 'speed_quant_25', 'speed_quant_75', 'speed_quant_95', 'speed_quant_max', 'speed_mad', 'acceleration_quant_10', 'acceleration_quant_median', 'acceleration_quant_75', 'acceleration_quant_90', 'acceleration_sd', 'acceleration_vcoef', 'acceleration_mad']",0.7337399090846588,0.7338129496402878,0.7299869905378085
14159,Random Forest + Tuning,forward,5,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_3_3', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_4_3', 'distance_geometry_4_4', 'distance_geometry_5_1', 'distance_geometry_5_4', 'angles_quant_min', 'angles_quant_05', 'angles_quant_max', 'angles_range', 'speed_0s', 'speed_mean', 'speed_quant_05', 'speed_quant_median', 'speed_quant_75', 'speed_quant_95', 'speed_quant_max', 'speed_mad', 'speed_kurt', 'acceleration_0s', 'acceleration_mean', 'acceleration_meanse', 'acceleration_quant_25', 'acceleration_quant_median', 'acceleration_quant_75', 'acceleration_quant_95', 'acceleration_range', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_iqr', 'acceleration_kurt']",0.7705965909090909,0.7608695652173914,0.7613087395696091
26535,Random Forest + Tuning,forward,1,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_3_3', 'distance_geometry_4_1', 'distance_geometry_4_3', 'distance_geometry_4_4', 'distance_geometry_5_1', 'angles_0s', 'angles_meanse', 'angles_quant_05', 'angles_quant_10', 'angles_quant_median', 'angles_quant_95', 'angles_range', 'angles_sd', 'angles_vcoef', 'speed_meanse', 'speed_quant_05', 'speed_quant_10', 'speed_quant_25', 'speed_quant_75', 'speed_quant_95', 'speed_quant_max', 'speed_range', 'speed_sd', 'speed_skew', 'speed_kurt', 'acceleration_quant_min', 'acceleration_quant_10', 'acceleration_quant_75', 'acceleration_range', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_skew']",0.6738529638150004,0.6690647482014388,0.666218091299199
26535,Random Forest + Tuning,forward,2,"['distance_geometry_1_1', 'distance_geometry_2_2', 'distance_geometry_4_2', 'distance_geometry_4_3', 'distance_geometry_5_1', 'distance_geometry_5_3', 'distance_geometry_5_5', 'angles_0s', 'angles_meanse', 'angles_quant_min', 'angles_quant_10', 'angles_quant_95', 'angles_range', 'speed_mean', 'speed_meanse', 'speed_quant_min', 'speed_quant_05', 'speed_quant_10', 'speed_quant_75', 'speed_quant_95', 'speed_quant_max', 'speed_range', 'speed_sd', 'speed_iqr', 'speed_kurt', 'acceleration_0s', 'acceleration_mean', 'acceleration_meanse', 'acceleration_quant_min', 'acceleration_quant_05', 'acceleration_quant_10', 'acceleration_quant_25', 'acceleration_quant_median', 'acceleration_quant_90', 'acceleration_skew', 'acceleration_kurt']",0.7589127206731562,0.7553956834532374,0.7545452171508131
26535,Random Forest + Tuning,forward,3,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_3_2', 'distance_geometry_3_3', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_5_1', 'distance_geometry_5_4', 'distance_geometry_5_5', 'angles_quant_min', 'angles_quant_05', 'angles_quant_10', 'angles_quant_25', 'angles_quant_90', 'angles_quant_max', 'angles_sd', 'angles_skew', 'speed_0s', 'speed_meanse', 'speed_quant_05', 'speed_quant_25', 'speed_quant_75', 'speed_quant_90', 'speed_quant_95', 'speed_quant_max', 'speed_range', 'speed_iqr', 'speed_kurt', 'acceleration_meanse', 'acceleration_quant_min', 'acceleration_quant_10', 'acceleration_quant_95', 'acceleration_vcoef', 'acceleration_mad']",0.7468161530090928,0.7338129496402878,0.7334724706263871
26535,Random Forest + Tuning,forward,4,"['distance_geometry_1_1', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_5_1', 'distance_geometry_5_2', 'distance_geometry_5_3', 'distance_geometry_5_4', 'angles_quant_05', 'angles_quant_10', 'angles_quant_75', 'angles_quant_90', 'angles_quant_95', 'angles_vcoef', 'angles_mad', 'speed_mean', 'speed_meanse', 'speed_quant_min', 'speed_quant_10', 'speed_quant_25', 'speed_quant_median', 'speed_quant_75', 'speed_quant_95', 'speed_vcoef', 'speed_kurt', 'acceleration_0s', 'acceleration_mean', 'acceleration_meanse', 'acceleration_quant_min', 'acceleration_quant_05', 'acceleration_quant_10', 'acceleration_quant_median', 'acceleration_quant_75', 'acceleration_quant_90', 'acceleration_range', 'acceleration_sd', 'acceleration_vcoef']",0.8424208283732971,0.841726618705036,0.8394187320060622
26535,Random Forest + Tuning,forward,5,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_3_2', 'distance_geometry_4_1', 'distance_geometry_4_4', 'distance_geometry_5_1', 'distance_geometry_5_2', 'distance_geometry_5_3', 'distance_geometry_5_4', 'distance_geometry_5_5', 'angles_mean', 'angles_meanse', 'angles_quant_min', 'angles_quant_05', 'angles_quant_10', 'angles_quant_95', 'angles_range', 'angles_iqr', 'angles_kurt', 'speed_0s', 'speed_mean', 'speed_quant_05', 'speed_quant_95', 'speed_quant_max', 'speed_sd', 'speed_vcoef', 'speed_kurt', 'acceleration_mean', 'acceleration_quant_min', 'acceleration_quant_10', 'acceleration_quant_25', 'acceleration_quant_median', 'acceleration_sd', 'acceleration_vcoef']",0.7851574700676732,0.782608695652174,0.7826664101577531
