seed,model,description,fold,features,f1_macro,f1_micro,f1_weighted
14159,XGBoost,forward,1,"['distance_geometry_1_1', 'distance_geometry_3_3', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_5_1', 'distance_geometry_5_4', 'angles_meanse', 'angles_quant_min', 'angles_quant_05', 'angles_quant_75', 'angles_quant_90', 'angles_quant_95', 'angles_quant_max', 'angles_range', 'angles_sd', 'angles_iqr', 'speed_0s', 'speed_quant_min', 'speed_quant_05', 'speed_quant_10', 'speed_quant_median', 'speed_quant_75', 'speed_quant_90', 'speed_quant_95', 'speed_mad', 'speed_iqr', 'acceleration_0s', 'acceleration_quant_05', 'acceleration_quant_10', 'acceleration_quant_25', 'acceleration_quant_median', 'acceleration_quant_90', 'acceleration_quant_95', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_iqr']",0.7157845180514957,0.7194244604316546,0.7176944004037048
14159,XGBoost,forward,2,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_3_2', 'distance_geometry_3_3', 'distance_geometry_4_2', 'distance_geometry_4_3', 'distance_geometry_4_4', 'distance_geometry_5_1', 'distance_geometry_5_2', 'angles_quant_min', 'angles_quant_05', 'angles_quant_25', 'angles_quant_75', 'angles_quant_90', 'angles_quant_95', 'angles_quant_max', 'angles_range', 'angles_iqr', 'speed_0s', 'speed_meanse', 'speed_quant_min', 'speed_quant_05', 'speed_quant_10', 'speed_quant_median', 'speed_quant_75', 'speed_quant_95', 'speed_sd', 'speed_mad', 'speed_iqr', 'acceleration_quant_05', 'acceleration_quant_10', 'acceleration_quant_median', 'acceleration_quant_90', 'acceleration_skew']",0.7604623335183129,0.7553956834532374,0.7563730147957106
14159,XGBoost,forward,3,"['distance_geometry_3_3', 'distance_geometry_4_4', 'distance_geometry_5_3', 'distance_geometry_5_4', 'distance_geometry_5_5', 'angles_mean', 'angles_quant_min', 'angles_quant_05', 'angles_quant_25', 'angles_quant_median', 'angles_quant_90', 'angles_quant_95', 'angles_quant_max', 'angles_range', 'speed_0s', 'speed_mean', 'speed_meanse', 'speed_quant_min', 'speed_quant_05', 'speed_quant_10', 'speed_quant_25', 'speed_quant_median', 'speed_quant_95', 'speed_sd', 'speed_vcoef', 'speed_iqr', 'acceleration_0s', 'acceleration_meanse', 'acceleration_quant_min', 'acceleration_quant_10', 'acceleration_quant_median', 'acceleration_quant_95', 'acceleration_quant_max', 'acceleration_sd', 'acceleration_mad', 'acceleration_iqr']",0.7214598749368273,0.7122302158273381,0.7102778233162379
14159,XGBoost,forward,4,"['distance_geometry_1_1', 'distance_geometry_2_2', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_4_4', 'distance_geometry_5_2', 'distance_geometry_5_3', 'distance_geometry_5_4', 'angles_0s', 'angles_meanse', 'angles_quant_min', 'angles_quant_25', 'angles_quant_90', 'angles_quant_max', 'angles_range', 'angles_mad', 'angles_iqr', 'angles_kurt', 'speed_0s', 'speed_meanse', 'speed_quant_min', 'speed_quant_05', 'speed_quant_95', 'speed_quant_max', 'speed_iqr', 'speed_skew', 'speed_kurt', 'acceleration_meanse', 'acceleration_quant_min', 'acceleration_quant_25', 'acceleration_quant_median', 'acceleration_range', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_iqr', 'acceleration_kurt']",0.7053160377198082,0.7050359712230215,0.7005754480693305
14159,XGBoost,forward,5,"['distance_geometry_3_3', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_5_4', 'angles_meanse', 'angles_quant_min', 'angles_quant_05', 'angles_quant_90', 'angles_quant_95', 'angles_quant_max', 'angles_range', 'angles_sd', 'angles_mad', 'speed_0s', 'speed_mean', 'speed_quant_min', 'speed_quant_10', 'speed_quant_median', 'speed_quant_75', 'speed_quant_95', 'speed_quant_max', 'speed_range', 'speed_iqr', 'speed_skew', 'acceleration_0s', 'acceleration_quant_min', 'acceleration_quant_05', 'acceleration_quant_10', 'acceleration_quant_median', 'acceleration_quant_90', 'acceleration_range', 'acceleration_sd', 'acceleration_mad', 'acceleration_iqr', 'acceleration_skew', 'acceleration_kurt']",0.7245977549163288,0.717391304347826,0.7208853727536567
26535,XGBoost,forward,1,"['distance_geometry_1_1', 'distance_geometry_2_2', 'distance_geometry_3_2', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_4_4', 'distance_geometry_5_1', 'distance_geometry_5_3', 'distance_geometry_5_4', 'distance_geometry_5_5', 'angles_0s', 'angles_quant_min', 'angles_quant_10', 'angles_quant_median', 'angles_quant_max', 'angles_range', 'angles_iqr', 'angles_kurt', 'speed_0s', 'speed_mean', 'speed_quant_min', 'speed_quant_05', 'speed_quant_median', 'speed_quant_75', 'speed_quant_90', 'speed_quant_95', 'speed_vcoef', 'speed_mad', 'speed_iqr', 'acceleration_0s', 'acceleration_meanse', 'acceleration_quant_25', 'acceleration_quant_median', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_iqr']",0.6711842815586393,0.6762589928057554,0.674776192887488
26535,XGBoost,forward,2,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_3_2', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_4_3', 'distance_geometry_5_2', 'angles_meanse', 'angles_quant_min', 'angles_quant_05', 'angles_quant_10', 'angles_quant_25', 'angles_quant_90', 'angles_quant_max', 'angles_range', 'angles_sd', 'angles_vcoef', 'speed_0s', 'speed_mean', 'speed_meanse', 'speed_quant_min', 'speed_quant_median', 'speed_quant_75', 'speed_quant_95', 'speed_quant_max', 'speed_sd', 'acceleration_mean', 'acceleration_meanse', 'acceleration_quant_min', 'acceleration_quant_05', 'acceleration_range', 'acceleration_sd', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_skew', 'acceleration_kurt']",0.7482163742690059,0.7482014388489209,0.745937986452943
26535,XGBoost,forward,3,"['distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_3_2', 'distance_geometry_4_1', 'distance_geometry_4_4', 'distance_geometry_5_1', 'distance_geometry_5_3', 'distance_geometry_5_4', 'angles_0s', 'angles_mean', 'angles_meanse', 'angles_quant_min', 'angles_quant_05', 'angles_quant_75', 'angles_quant_95', 'angles_quant_max', 'angles_range', 'angles_vcoef', 'angles_iqr', 'speed_0s', 'speed_quant_min', 'speed_quant_05', 'speed_quant_10', 'speed_quant_95', 'speed_quant_max', 'speed_range', 'acceleration_0s', 'acceleration_meanse', 'acceleration_quant_05', 'acceleration_quant_10', 'acceleration_quant_25', 'acceleration_quant_90', 'acceleration_quant_max', 'acceleration_range', 'acceleration_vcoef', 'acceleration_skew']",0.7277520098948671,0.7050359712230215,0.7063048633449456
26535,XGBoost,forward,4,"['distance_geometry_1_1', 'distance_geometry_2_2', 'distance_geometry_3_2', 'distance_geometry_4_1', 'distance_geometry_4_3', 'distance_geometry_4_4', 'distance_geometry_5_4', 'angles_0s', 'angles_quant_min', 'angles_quant_05', 'angles_quant_25', 'angles_quant_median', 'angles_quant_90', 'angles_quant_95', 'angles_quant_max', 'angles_range', 'angles_iqr', 'speed_0s', 'speed_mean', 'speed_meanse', 'speed_quant_min', 'speed_quant_05', 'speed_quant_10', 'speed_quant_25', 'speed_quant_95', 'speed_mad', 'speed_iqr', 'acceleration_0s', 'acceleration_meanse', 'acceleration_quant_10', 'acceleration_quant_25', 'acceleration_quant_median', 'acceleration_quant_90', 'acceleration_quant_95', 'acceleration_mad', 'acceleration_iqr']",0.751742094481078,0.7553956834532374,0.7545880442089343
26535,XGBoost,forward,5,"['distance_geometry_4_4', 'distance_geometry_5_1', 'distance_geometry_5_2', 'distance_geometry_5_3', 'distance_geometry_5_5', 'angles_mean', 'angles_meanse', 'angles_quant_min', 'angles_quant_05', 'angles_quant_10', 'angles_quant_25', 'angles_quant_95', 'angles_quant_max', 'angles_range', 'angles_sd', 'angles_iqr', 'speed_0s', 'speed_meanse', 'speed_quant_min', 'speed_quant_95', 'speed_quant_max', 'speed_range', 'speed_sd', 'speed_iqr', 'acceleration_0s', 'acceleration_mean', 'acceleration_meanse', 'acceleration_quant_min', 'acceleration_quant_10', 'acceleration_quant_25', 'acceleration_quant_median', 'acceleration_quant_max', 'acceleration_range', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_iqr']",0.785155050022832,0.782608695652174,0.7825885810329369
