seed,model,description,fold,features,f1_macro,f1_micro,f1_weighted
14159,XGBoost + Tuning,forward,1,"['distance_geometry_1_1', 'distance_geometry_3_3', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_5_1', 'distance_geometry_5_4', 'angles_meanse', 'angles_quant_min', 'angles_quant_05', 'angles_quant_75', 'angles_quant_90', 'angles_quant_95', 'angles_quant_max', 'angles_range', 'angles_sd', 'angles_iqr', 'speed_0s', 'speed_quant_min', 'speed_quant_05', 'speed_quant_10', 'speed_quant_median', 'speed_quant_75', 'speed_quant_90', 'speed_quant_95', 'speed_mad', 'speed_iqr', 'acceleration_0s', 'acceleration_quant_05', 'acceleration_quant_10', 'acceleration_quant_25', 'acceleration_quant_median', 'acceleration_quant_90', 'acceleration_quant_95', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_iqr']",0.7440747464106632,0.7482014388489209,0.7470265041564446
14159,XGBoost + Tuning,forward,2,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_3_2', 'distance_geometry_3_3', 'distance_geometry_4_2', 'distance_geometry_4_3', 'distance_geometry_4_4', 'distance_geometry_5_1', 'distance_geometry_5_2', 'angles_quant_min', 'angles_quant_05', 'angles_quant_25', 'angles_quant_75', 'angles_quant_90', 'angles_quant_95', 'angles_quant_max', 'angles_range', 'angles_iqr', 'speed_0s', 'speed_meanse', 'speed_quant_min', 'speed_quant_05', 'speed_quant_10', 'speed_quant_median', 'speed_quant_75', 'speed_quant_95', 'speed_sd', 'speed_mad', 'speed_iqr', 'acceleration_quant_05', 'acceleration_quant_10', 'acceleration_quant_median', 'acceleration_quant_90', 'acceleration_skew']",0.7640747697280575,0.762589928057554,0.7628545868563485
14159,XGBoost + Tuning,forward,3,"['distance_geometry_3_3', 'distance_geometry_4_4', 'distance_geometry_5_3', 'distance_geometry_5_4', 'distance_geometry_5_5', 'angles_mean', 'angles_quant_min', 'angles_quant_05', 'angles_quant_25', 'angles_quant_median', 'angles_quant_90', 'angles_quant_95', 'angles_quant_max', 'angles_range', 'speed_0s', 'speed_mean', 'speed_meanse', 'speed_quant_min', 'speed_quant_05', 'speed_quant_10', 'speed_quant_25', 'speed_quant_median', 'speed_quant_95', 'speed_sd', 'speed_vcoef', 'speed_iqr', 'acceleration_0s', 'acceleration_meanse', 'acceleration_quant_min', 'acceleration_quant_10', 'acceleration_quant_median', 'acceleration_quant_95', 'acceleration_quant_max', 'acceleration_sd', 'acceleration_mad', 'acceleration_iqr']",0.7014809092613306,0.697841726618705,0.6921694431529902
14159,XGBoost + Tuning,forward,4,"['distance_geometry_1_1', 'distance_geometry_2_2', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_4_4', 'distance_geometry_5_2', 'distance_geometry_5_3', 'distance_geometry_5_4', 'angles_0s', 'angles_meanse', 'angles_quant_min', 'angles_quant_25', 'angles_quant_90', 'angles_quant_max', 'angles_range', 'angles_mad', 'angles_iqr', 'angles_kurt', 'speed_0s', 'speed_meanse', 'speed_quant_min', 'speed_quant_05', 'speed_quant_95', 'speed_quant_max', 'speed_iqr', 'speed_skew', 'speed_kurt', 'acceleration_meanse', 'acceleration_quant_min', 'acceleration_quant_25', 'acceleration_quant_median', 'acceleration_range', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_iqr', 'acceleration_kurt']",0.7309234154889304,0.7338129496402878,0.7265263778710251
14159,XGBoost + Tuning,forward,5,"['distance_geometry_3_3', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_5_4', 'angles_meanse', 'angles_quant_min', 'angles_quant_05', 'angles_quant_90', 'angles_quant_95', 'angles_quant_max', 'angles_range', 'angles_sd', 'angles_mad', 'speed_0s', 'speed_mean', 'speed_quant_min', 'speed_quant_10', 'speed_quant_median', 'speed_quant_75', 'speed_quant_95', 'speed_quant_max', 'speed_range', 'speed_iqr', 'speed_skew', 'acceleration_0s', 'acceleration_quant_min', 'acceleration_quant_05', 'acceleration_quant_10', 'acceleration_quant_median', 'acceleration_quant_90', 'acceleration_range', 'acceleration_sd', 'acceleration_mad', 'acceleration_iqr', 'acceleration_skew', 'acceleration_kurt']",0.7340303600495797,0.7318840579710145,0.7340746468902252
26535,XGBoost + Tuning,forward,1,"['distance_geometry_1_1', 'distance_geometry_2_2', 'distance_geometry_3_2', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_4_4', 'distance_geometry_5_1', 'distance_geometry_5_3', 'distance_geometry_5_4', 'distance_geometry_5_5', 'angles_0s', 'angles_quant_min', 'angles_quant_10', 'angles_quant_median', 'angles_quant_max', 'angles_range', 'angles_iqr', 'angles_kurt', 'speed_0s', 'speed_mean', 'speed_quant_min', 'speed_quant_05', 'speed_quant_median', 'speed_quant_75', 'speed_quant_90', 'speed_quant_95', 'speed_vcoef', 'speed_mad', 'speed_iqr', 'acceleration_0s', 'acceleration_meanse', 'acceleration_quant_25', 'acceleration_quant_median', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_iqr']",0.6328790438165438,0.6474820143884892,0.6433020905143207
26535,XGBoost + Tuning,forward,2,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_3_2', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_4_3', 'distance_geometry_5_2', 'angles_meanse', 'angles_quant_min', 'angles_quant_05', 'angles_quant_10', 'angles_quant_25', 'angles_quant_90', 'angles_quant_max', 'angles_range', 'angles_sd', 'angles_vcoef', 'speed_0s', 'speed_mean', 'speed_meanse', 'speed_quant_min', 'speed_quant_median', 'speed_quant_75', 'speed_quant_95', 'speed_quant_max', 'speed_sd', 'acceleration_mean', 'acceleration_meanse', 'acceleration_quant_min', 'acceleration_quant_05', 'acceleration_range', 'acceleration_sd', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_skew', 'acceleration_kurt']",0.7790216509436756,0.7769784172661871,0.77330445768281
26535,XGBoost + Tuning,forward,3,"['distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_3_2', 'distance_geometry_4_1', 'distance_geometry_4_4', 'distance_geometry_5_1', 'distance_geometry_5_3', 'distance_geometry_5_4', 'angles_0s', 'angles_mean', 'angles_meanse', 'angles_quant_min', 'angles_quant_05', 'angles_quant_75', 'angles_quant_95', 'angles_quant_max', 'angles_range', 'angles_vcoef', 'angles_iqr', 'speed_0s', 'speed_quant_min', 'speed_quant_05', 'speed_quant_10', 'speed_quant_95', 'speed_quant_max', 'speed_range', 'acceleration_0s', 'acceleration_meanse', 'acceleration_quant_05', 'acceleration_quant_10', 'acceleration_quant_25', 'acceleration_quant_90', 'acceleration_quant_max', 'acceleration_range', 'acceleration_vcoef', 'acceleration_skew']",0.7521483491632744,0.7338129496402878,0.7337305189769487
26535,XGBoost + Tuning,forward,4,"['distance_geometry_1_1', 'distance_geometry_2_2', 'distance_geometry_3_2', 'distance_geometry_4_1', 'distance_geometry_4_3', 'distance_geometry_4_4', 'distance_geometry_5_4', 'angles_0s', 'angles_quant_min', 'angles_quant_05', 'angles_quant_25', 'angles_quant_median', 'angles_quant_90', 'angles_quant_95', 'angles_quant_max', 'angles_range', 'angles_iqr', 'speed_0s', 'speed_mean', 'speed_meanse', 'speed_quant_min', 'speed_quant_05', 'speed_quant_10', 'speed_quant_25', 'speed_quant_95', 'speed_mad', 'speed_iqr', 'acceleration_0s', 'acceleration_meanse', 'acceleration_quant_10', 'acceleration_quant_25', 'acceleration_quant_median', 'acceleration_quant_90', 'acceleration_quant_95', 'acceleration_mad', 'acceleration_iqr']",0.7700502904173487,0.7697841726618705,0.7674511374282871
26535,XGBoost + Tuning,forward,5,"['distance_geometry_4_4', 'distance_geometry_5_1', 'distance_geometry_5_2', 'distance_geometry_5_3', 'distance_geometry_5_5', 'angles_mean', 'angles_meanse', 'angles_quant_min', 'angles_quant_05', 'angles_quant_10', 'angles_quant_25', 'angles_quant_95', 'angles_quant_max', 'angles_range', 'angles_sd', 'angles_iqr', 'speed_0s', 'speed_meanse', 'speed_quant_min', 'speed_quant_95', 'speed_quant_max', 'speed_range', 'speed_sd', 'speed_iqr', 'acceleration_0s', 'acceleration_mean', 'acceleration_meanse', 'acceleration_quant_min', 'acceleration_quant_10', 'acceleration_quant_25', 'acceleration_quant_median', 'acceleration_quant_max', 'acceleration_range', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_iqr']",0.7907563025210084,0.7898550724637681,0.7892339544513457
