model,description,seed,n_features,best_score,best_params
Logistic Regression,forward,14159,36,0.5407854890207832,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
Logistic Regression,forward,14159,36,0.4902045323097955,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
Logistic Regression,forward,14159,36,0.6056543456543457,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
Logistic Regression,forward,14159,36,0.5417582417582417,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
Logistic Regression,forward,14159,36,0.5493706293706293,"{'clf__C': 0.01, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
Logistic Regression,forward,26535,36,0.4819844139348783,"{'clf__C': 0.01, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}"
Logistic Regression,forward,26535,36,0.4917582417582418,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
Logistic Regression,forward,26535,36,0.48581330777925213,"{'clf__C': 0.1, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}"
Logistic Regression,forward,26535,36,0.5005661005661006,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
Logistic Regression,forward,26535,36,0.549188850365321,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
Logistic Regression,forward,89793,36,0.4870359705653824,"{'clf__C': 0.1, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}"
Logistic Regression,forward,89793,36,0.5190041984159631,"{'clf__C': 1, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
Logistic Regression,forward,89793,36,0.5566344766344766,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
Logistic Regression,forward,89793,36,0.5259806859806859,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}"
Logistic Regression,forward,89793,36,0.5269914399326164,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}"
Logistic Regression,forward,23846,36,0.5395548242607067,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}"
Logistic Regression,forward,23846,36,0.5121123321123322,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
Logistic Regression,forward,23846,36,0.4977029111239638,"{'clf__C': 0.1, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
Logistic Regression,forward,23846,36,0.46400903018550077,"{'clf__C': 0.1, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}"
Logistic Regression,forward,23846,36,0.48278349101878504,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
Logistic Regression,backward,14159,36,0.4470645144329355,"{'clf__C': 1, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
Logistic Regression,backward,14159,36,0.6033777333777334,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
Logistic Regression,backward,14159,36,0.4138128538128538,"{'clf__C': 0.01, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}"
Logistic Regression,backward,14159,36,0.5562037962037961,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
Logistic Regression,backward,14159,36,0.6207091257555655,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
Logistic Regression,backward,26535,36,0.4465090465090465,"{'clf__C': 0.1, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}"
Logistic Regression,backward,26535,36,0.5022866022866023,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
Logistic Regression,backward,26535,36,0.5748722038195722,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
Logistic Regression,backward,26535,36,0.558549881491058,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
Logistic Regression,backward,26535,36,0.604975024975025,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
Logistic Regression,backward,89793,36,0.5621195471195471,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
Logistic Regression,backward,89793,36,0.5200012732365673,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
Logistic Regression,backward,89793,36,0.5914652014652015,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
Logistic Regression,backward,89793,36,0.4555870445344129,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
Logistic Regression,backward,89793,36,0.4577844377844378,"{'clf__C': 1, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
Logistic Regression,backward,23846,36,0.554372129418569,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
Logistic Regression,backward,23846,36,0.46722832722832724,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
Logistic Regression,backward,23846,36,0.42505467700514143,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
Logistic Regression,backward,23846,36,0.4830185019658703,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
Logistic Regression,backward,23846,36,0.4261414333860154,"{'clf__C': 1, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}"
