selection_model,eval_model,description,seed,n_features,best_score,best_params
MLP,MLP,forward,14159,36,0.5287581699346405,"{'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (50, 50), 'clf__learning_rate_init': 0.01}"
MLP,MLP,forward,14159,36,0.5635361954866598,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50, 50), 'clf__learning_rate_init': 0.0001}"
MLP,MLP,forward,14159,36,0.5572649572649573,"{'clf__alpha': 0.01, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate_init': 0.01}"
MLP,MLP,forward,14159,36,0.550586668233727,"{'clf__alpha': 0.01, 'clf__hidden_layer_sizes': (50, 50), 'clf__learning_rate_init': 0.01}"
MLP,MLP,forward,14159,36,0.6544694521165109,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50, 50), 'clf__learning_rate_init': 0.001}"
MLP,MLP,forward,26535,36,0.5661884555073409,"{'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (50, 50), 'clf__learning_rate_init': 0.01}"
MLP,MLP,forward,26535,36,0.5283879519173638,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate_init': 0.0001}"
MLP,MLP,forward,26535,36,0.5800186741363211,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate_init': 0.001}"
MLP,MLP,forward,26535,36,0.6169151110327581,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.001}"
MLP,MLP,forward,26535,36,0.5915750915750916,"{'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.001}"
MLP,MLP,forward,89793,36,0.5644473173884939,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.001}"
MLP,MLP,forward,89793,36,0.5594627594627595,"{'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (50, 50), 'clf__learning_rate_init': 0.001}"
