selection_model,eval_model,description,seed,n_features,best_score,best_params
Random Forest,Random Forest,forward,14159,36,0.584010368716251,"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__n_estimators': 500}"
Random Forest,Random Forest,forward,14159,36,0.5432995762407526,"{'clf__max_depth': None, 'clf__max_features': 16, 'clf__n_estimators': 100}"
Random Forest,Random Forest,forward,14159,36,0.5938137026372321,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__n_estimators': 500}"
Random Forest,Random Forest,forward,14159,36,0.6064252362704374,"{'clf__max_depth': None, 'clf__max_features': 16, 'clf__n_estimators': 100}"
Random Forest,Random Forest,forward,14159,36,0.6191575091575092,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__n_estimators': 100}"
Random Forest,Random Forest,forward,26535,36,0.6643410940624562,"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__n_estimators': 1000}"
Random Forest,Random Forest,forward,26535,36,0.6237692647909366,"{'clf__max_depth': None, 'clf__max_features': 16, 'clf__n_estimators': 100}"
Random Forest,Random Forest,forward,26535,36,0.6458583521741417,"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__n_estimators': 100}"
Random Forest,Random Forest,forward,26535,36,0.5870760611937083,"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__n_estimators': 100}"
Random Forest,Random Forest,forward,26535,36,0.5769738105032223,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__n_estimators': 100}"
Random Forest,Random Forest,forward,89793,36,0.5497327234169339,"{'clf__max_depth': None, 'clf__max_features': 16, 'clf__n_estimators': 100}"
Random Forest,Random Forest,forward,89793,36,0.5801809576732178,"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__n_estimators': 500}"
Random Forest,Random Forest,forward,89793,36,0.573901588607471,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__n_estimators': 500}"
Random Forest,Random Forest,forward,89793,36,0.5092274718745308,"{'clf__max_depth': None, 'clf__max_features': 16, 'clf__n_estimators': 1000}"
Random Forest,Random Forest,forward,89793,36,0.6172900955253897,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__n_estimators': 500}"
Random Forest,Random Forest,forward,23846,36,0.6072842946527157,"{'clf__max_depth': None, 'clf__max_features': 16, 'clf__n_estimators': 500}"
Random Forest,Random Forest,forward,23846,36,0.6173125120493541,"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__n_estimators': 500}"
Random Forest,Random Forest,forward,23846,36,0.5700481218128277,"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__n_estimators': 500}"
Random Forest,Random Forest,forward,23846,36,0.6199274581627523,"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__n_estimators': 500}"
Random Forest,Random Forest,forward,23846,36,0.5817322151532679,"{'clf__max_depth': None, 'clf__max_features': 16, 'clf__n_estimators': 500}"
Random Forest,Random Forest,backward,14159,36,0.5751848151848151,"{'clf__max_depth': None, 'clf__max_features': 16, 'clf__n_estimators': 1000}"
Random Forest,Random Forest,backward,14159,36,0.5986195503842563,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__n_estimators': 500}"
Random Forest,Random Forest,backward,14159,36,0.5471328671328671,"{'clf__max_depth': None, 'clf__max_features': 16, 'clf__n_estimators': 1000}"
Random Forest,Random Forest,backward,14159,36,0.618756472285884,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__n_estimators': 100}"
Random Forest,Random Forest,backward,14159,36,0.601644629879924,"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__n_estimators': 500}"
Random Forest,Random Forest,backward,26535,36,0.5247172057388776,"{'clf__max_depth': None, 'clf__max_features': 16, 'clf__n_estimators': 500}"
Random Forest,Random Forest,backward,26535,36,0.5868601367672575,"{'clf__max_depth': None, 'clf__max_features': 16, 'clf__n_estimators': 500}"
Random Forest,Random Forest,backward,26535,36,0.5393650793650793,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__n_estimators': 100}"
Random Forest,Random Forest,backward,26535,36,0.6574121956474899,"{'clf__max_depth': None, 'clf__max_features': 16, 'clf__n_estimators': 100}"
Random Forest,Random Forest,backward,26535,36,0.6270240870240871,"{'clf__max_depth': None, 'clf__max_features': 16, 'clf__n_estimators': 500}"
Random Forest,Random Forest,backward,89793,36,0.6183183483183483,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__n_estimators': 1000}"
Random Forest,Random Forest,backward,89793,36,0.6179190090954797,"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__n_estimators': 1000}"
Random Forest,Random Forest,backward,89793,36,0.5709135962077139,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__n_estimators': 1000}"
Random Forest,Random Forest,backward,89793,36,0.5993766467450679,"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__n_estimators': 500}"
Random Forest,Random Forest,backward,89793,36,0.604945054945055,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__n_estimators': 500}"
Random Forest,Random Forest,backward,23846,36,0.5739063550828256,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__n_estimators': 500}"
Random Forest,Random Forest,backward,23846,36,0.5569488028311558,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__n_estimators': 1000}"
Random Forest,Random Forest,backward,23846,36,0.6052913752913753,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__n_estimators': 500}"
Random Forest,Random Forest,backward,23846,36,0.5631439836393397,"{'clf__max_depth': None, 'clf__max_features': 16, 'clf__n_estimators': 100}"
Random Forest,Random Forest,backward,23846,36,0.5221175109720001,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__n_estimators': 100}"
