selection_model,eval_model,description,seed,n_features,best_score,best_params
XGBoost,XGBoost,forward,14159,36,0.6520979020979022,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 500, 'clf__subsample': 1.0}"
XGBoost,XGBoost,forward,14159,36,0.5260259623417518,"{'clf__learning_rate': 0.01, 'clf__max_depth': 6, 'clf__n_estimators': 500, 'clf__subsample': 0.8}"
XGBoost,XGBoost,forward,14159,36,0.6048387560152266,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 1000, 'clf__subsample': 1.0}"
XGBoost,XGBoost,forward,14159,36,0.5517956553250671,"{'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 100, 'clf__subsample': 0.8}"
XGBoost,XGBoost,forward,14159,36,0.6368480642164853,"{'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__n_estimators': 1000, 'clf__subsample': 0.8}"
XGBoost,XGBoost,forward,26535,36,0.5698024782235309,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 100, 'clf__subsample': 0.8}"
XGBoost,XGBoost,forward,26535,36,0.650164536186208,"{'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__n_estimators': 500, 'clf__subsample': 0.8}"
XGBoost,XGBoost,forward,26535,36,0.6687782805429864,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 1000, 'clf__subsample': 1.0}"
XGBoost,XGBoost,forward,26535,36,0.5909855349329034,"{'clf__learning_rate': 0.01, 'clf__max_depth': 6, 'clf__n_estimators': 500, 'clf__subsample': 1.0}"
XGBoost,XGBoost,forward,26535,36,0.5996703296703296,"{'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 100, 'clf__subsample': 1.0}"
XGBoost,XGBoost,forward,89793,36,0.7112705595058537,"{'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 500, 'clf__subsample': 1.0}"
XGBoost,XGBoost,forward,89793,36,0.5792773600668338,"{'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__n_estimators': 500, 'clf__subsample': 1.0}"
XGBoost,XGBoost,forward,89793,36,0.5303582966740861,"{'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__n_estimators': 1000, 'clf__subsample': 0.8}"
XGBoost,XGBoost,forward,89793,36,0.7120232708468003,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 100, 'clf__subsample': 1.0}"
XGBoost,XGBoost,forward,89793,36,0.6929181929181929,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 500, 'clf__subsample': 1.0}"
XGBoost,XGBoost,forward,23846,36,0.5937404700562595,"{'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__n_estimators': 500, 'clf__subsample': 1.0}"
XGBoost,XGBoost,forward,23846,36,0.6644242307400202,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 100, 'clf__subsample': 0.8}"
XGBoost,XGBoost,forward,23846,36,0.6104126265890972,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 500, 'clf__subsample': 0.8}"
XGBoost,XGBoost,forward,23846,36,0.5678510378510377,"{'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__n_estimators': 1000, 'clf__subsample': 1.0}"
XGBoost,XGBoost,forward,23846,36,0.6641542770954534,"{'clf__learning_rate': 0.01, 'clf__max_depth': 6, 'clf__n_estimators': 100, 'clf__subsample': 1.0}"
XGBoost,XGBoost,backward,14159,36,0.664583782230841,"{'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__n_estimators': 100, 'clf__subsample': 1.0}"
XGBoost,XGBoost,backward,14159,36,0.6837728937728939,"{'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 500, 'clf__subsample': 0.8}"
XGBoost,XGBoost,backward,14159,36,0.6710371328018386,"{'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__n_estimators': 500, 'clf__subsample': 1.0}"
XGBoost,XGBoost,backward,14159,36,0.7010598173756069,"{'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__n_estimators': 100, 'clf__subsample': 1.0}"
XGBoost,XGBoost,backward,14159,36,0.6175274725274725,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 1000, 'clf__subsample': 0.8}"
XGBoost,XGBoost,backward,26535,36,0.5461158724316619,"{'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 100, 'clf__subsample': 0.8}"
XGBoost,XGBoost,backward,26535,36,0.6268160597572362,"{'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 500, 'clf__subsample': 0.8}"
XGBoost,XGBoost,backward,26535,36,0.6413431769468921,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 1000, 'clf__subsample': 0.8}"
XGBoost,XGBoost,backward,26535,36,0.5882223658694247,"{'clf__learning_rate': 0.01, 'clf__max_depth': 6, 'clf__n_estimators': 100, 'clf__subsample': 1.0}"
XGBoost,XGBoost,backward,26535,36,0.6802692732104496,"{'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__n_estimators': 100, 'clf__subsample': 1.0}"
XGBoost,XGBoost,backward,89793,36,0.6107634470792366,"{'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 100, 'clf__subsample': 0.8}"
XGBoost,XGBoost,backward,89793,36,0.6527501256913022,"{'clf__learning_rate': 0.01, 'clf__max_depth': 6, 'clf__n_estimators': 100, 'clf__subsample': 1.0}"
XGBoost,XGBoost,backward,89793,36,0.6852869181042556,"{'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 500, 'clf__subsample': 1.0}"
XGBoost,XGBoost,backward,89793,36,0.6414978812037637,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 1000, 'clf__subsample': 0.8}"
XGBoost,XGBoost,backward,89793,36,0.6676994900524312,"{'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 1000, 'clf__subsample': 1.0}"
XGBoost,XGBoost,backward,23846,36,0.690613014436544,"{'clf__learning_rate': 0.01, 'clf__max_depth': 6, 'clf__n_estimators': 100, 'clf__subsample': 1.0}"
XGBoost,XGBoost,backward,23846,36,0.66472383825325,"{'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 1000, 'clf__subsample': 0.8}"
XGBoost,XGBoost,backward,23846,36,0.7005809876398111,"{'clf__learning_rate': 0.01, 'clf__max_depth': 6, 'clf__n_estimators': 100, 'clf__subsample': 1.0}"
XGBoost,XGBoost,backward,23846,36,0.6433128962540727,"{'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__n_estimators': 100, 'clf__subsample': 1.0}"
XGBoost,XGBoost,backward,23846,36,0.6488326053031934,"{'clf__learning_rate': 0.01, 'clf__max_depth': 6, 'clf__n_estimators': 1000, 'clf__subsample': 1.0}"
