seed,model,description,feature_name,technique,f1_macro,f1_micro
42,Decision Tree,Decision Tree (Forward Selection),distance_geometry_1_1,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),distance_geometry_2_2,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),distance_geometry_4_2,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),distance_geometry_4_3,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),distance_geometry_5_1,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),distance_geometry_5_3,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),distance_geometry_5_5,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),angles_0s,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),angles_mean,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),angles_quant_10,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),angles_quant_95,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),angles_quant_max,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),angles_range,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),speed_quant_10,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),speed_quant_25,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),speed_quant_75,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),speed_quant_90,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),speed_quant_95,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),speed_sd,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),speed_iqr,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),acceleration_0s,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),acceleration_mean,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),acceleration_quant_min,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),acceleration_quant_05,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),acceleration_quant_10,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),acceleration_quant_25,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),acceleration_quant_median,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),acceleration_quant_75,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),acceleration_quant_90,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),acceleration_quant_95,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),acceleration_quant_max,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),acceleration_range,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),acceleration_sd,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),acceleration_vcoef,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),acceleration_mad,Forward,1.0,1.0
42,Decision Tree,Decision Tree (Forward Selection),acceleration_iqr,Forward,1.0,1.0
