seed,model,description,fold,features,f1_macro,f1_micro,f1_weighted
14159,Decision Tree,forward,1,"['distance_geometry_2_1', 'distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_3_2', 'distance_geometry_3_3', 'distance_geometry_4_2', 'distance_geometry_4_4', 'distance_geometry_5_1', 'angles_0s', 'angles_mean', 'angles_meanse', 'angles_quant_min', 'angles_quant_25', 'angles_quant_median', 'angles_quant_75', 'angles_quant_max', 'angles_range', 'angles_iqr', 'speed_0s', 'speed_meanse', 'speed_quant_05', 'speed_quant_max', 'speed_mad', 'speed_skew', 'acceleration_0s', 'acceleration_mean', 'acceleration_meanse', 'acceleration_quant_min', 'acceleration_quant_10', 'acceleration_quant_25', 'acceleration_quant_75', 'acceleration_quant_95', 'acceleration_range', 'acceleration_sd', 'acceleration_mad', 'acceleration_iqr']",0.6410256410256411,0.6428571428571429,0.6373626373626374
14159,Decision Tree,forward,2,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_2_2', 'distance_geometry_3_2', 'distance_geometry_3_3', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_4_3', 'distance_geometry_5_1', 'distance_geometry_5_2', 'distance_geometry_5_4', 'distance_geometry_5_5', 'angles_0s', 'angles_meanse', 'angles_quant_min', 'angles_quant_05', 'angles_quant_95', 'angles_sd', 'angles_skew', 'angles_kurt', 'speed_0s', 'speed_mean', 'speed_meanse', 'speed_quant_min', 'speed_quant_75', 'speed_quant_90', 'speed_quant_max', 'speed_iqr', 'acceleration_0s', 'acceleration_mean', 'acceleration_quant_10', 'acceleration_quant_median', 'acceleration_quant_75', 'acceleration_quant_90', 'acceleration_quant_95', 'acceleration_range']",0.5125000000000001,0.5384615384615384,0.5384615384615384
14159,Decision Tree,forward,3,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_2_2', 'distance_geometry_3_2', 'distance_geometry_3_3', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_4_3', 'distance_geometry_5_2', 'distance_geometry_5_3', 'distance_geometry_5_4', 'distance_geometry_5_5', 'angles_0s', 'angles_mean', 'angles_meanse', 'angles_quant_min', 'angles_quant_05', 'angles_quant_10', 'angles_quant_median', 'angles_quant_75', 'angles_range', 'angles_sd', 'angles_vcoef', 'angles_mad', 'angles_skew', 'angles_kurt', 'speed_0s', 'speed_quant_min', 'speed_quant_05', 'speed_quant_25', 'speed_quant_75', 'speed_quant_max', 'acceleration_0s', 'acceleration_mean', 'acceleration_meanse', 'acceleration_vcoef']",0.40522875816993464,0.46153846153846156,0.4474610356963299
14159,Decision Tree,forward,4,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_3_2', 'distance_geometry_3_3', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_4_3', 'distance_geometry_5_1', 'distance_geometry_5_2', 'distance_geometry_5_3', 'distance_geometry_5_4', 'angles_0s', 'angles_mean', 'angles_meanse', 'angles_quant_05', 'angles_quant_10', 'angles_quant_25', 'angles_quant_75', 'angles_quant_90', 'angles_quant_max', 'angles_sd', 'speed_0s', 'speed_mean', 'speed_quant_05', 'speed_quant_75', 'speed_quant_90', 'speed_quant_95', 'speed_vcoef', 'speed_kurt', 'acceleration_0s', 'acceleration_quant_05', 'acceleration_quant_10', 'acceleration_quant_95', 'acceleration_kurt']",0.4484848484848485,0.46153846153846156,0.455011655011655
14159,Decision Tree,forward,5,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_3_3', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_4_4', 'distance_geometry_5_1', 'distance_geometry_5_2', 'distance_geometry_5_3', 'angles_0s', 'angles_meanse', 'angles_quant_min', 'angles_quant_05', 'angles_quant_10', 'angles_quant_75', 'angles_range', 'angles_vcoef', 'angles_kurt', 'speed_0s', 'speed_mean', 'speed_meanse', 'speed_quant_min', 'speed_quant_10', 'speed_quant_25', 'speed_quant_75', 'speed_quant_90', 'acceleration_0s', 'acceleration_meanse', 'acceleration_quant_min', 'acceleration_quant_25', 'acceleration_quant_75', 'acceleration_quant_90', 'acceleration_vcoef', 'acceleration_mad']",0.4615384615384615,0.46153846153846156,0.46153846153846156
26535,Decision Tree,forward,1,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_3_3', 'distance_geometry_4_3', 'distance_geometry_5_1', 'distance_geometry_5_5', 'angles_0s', 'angles_meanse', 'angles_quant_min', 'angles_quant_05', 'angles_quant_10', 'angles_quant_75', 'angles_kurt', 'speed_0s', 'speed_mean', 'speed_quant_25', 'speed_quant_75', 'speed_quant_90', 'speed_quant_max', 'speed_range', 'speed_vcoef', 'speed_mad', 'speed_skew', 'acceleration_0s', 'acceleration_mean', 'acceleration_quant_min', 'acceleration_quant_median', 'acceleration_quant_75', 'acceleration_quant_90', 'acceleration_quant_95', 'acceleration_quant_max', 'acceleration_mad', 'acceleration_iqr', 'acceleration_kurt']",0.3538461538461538,0.35714285714285715,0.36043956043956044
26535,Decision Tree,forward,2,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_2_2', 'distance_geometry_3_2', 'distance_geometry_3_3', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_4_3', 'distance_geometry_4_4', 'distance_geometry_5_5', 'angles_0s', 'angles_mean', 'angles_quant_05', 'angles_quant_median', 'angles_quant_75', 'angles_range', 'angles_sd', 'angles_vcoef', 'angles_mad', 'angles_kurt', 'speed_0s', 'speed_quant_05', 'speed_quant_10', 'acceleration_0s', 'acceleration_mean', 'acceleration_meanse', 'acceleration_quant_min', 'acceleration_quant_05', 'acceleration_quant_10', 'acceleration_quant_95', 'acceleration_sd', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_iqr', 'acceleration_skew', 'acceleration_kurt']",0.5751633986928105,0.6153846153846154,0.6053293112116642
26535,Decision Tree,forward,3,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_2_2', 'distance_geometry_3_2', 'distance_geometry_3_3', 'distance_geometry_4_2', 'distance_geometry_4_3', 'distance_geometry_5_2', 'distance_geometry_5_3', 'distance_geometry_5_4', 'distance_geometry_5_5', 'angles_0s', 'angles_meanse', 'angles_quant_05', 'angles_quant_10', 'angles_quant_25', 'angles_quant_75', 'angles_quant_95', 'speed_0s', 'speed_mean', 'speed_quant_min', 'speed_quant_10', 'speed_quant_25', 'speed_quant_75', 'speed_quant_90', 'speed_quant_95', 'speed_quant_max', 'speed_range', 'speed_mad', 'speed_skew', 'speed_kurt', 'acceleration_0s', 'acceleration_mean', 'acceleration_quant_median', 'acceleration_quant_75', 'acceleration_iqr']",0.5125000000000001,0.5384615384615384,0.5384615384615384
26535,Decision Tree,forward,4,"['distance_geometry_2_1', 'distance_geometry_3_1', 'distance_geometry_3_2', 'distance_geometry_3_3', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_5_1', 'distance_geometry_5_2', 'distance_geometry_5_3', 'distance_geometry_5_4', 'distance_geometry_5_5', 'angles_0s', 'angles_mean', 'angles_meanse', 'angles_quant_min', 'angles_quant_05', 'angles_quant_10', 'angles_quant_25', 'angles_quant_median', 'angles_quant_90', 'angles_quant_95', 'angles_quant_max', 'angles_sd', 'angles_vcoef', 'angles_iqr', 'speed_mean', 'speed_quant_min', 'speed_quant_10', 'speed_quant_75', 'speed_skew', 'acceleration_0s', 'acceleration_mean', 'acceleration_meanse', 'acceleration_quant_05', 'acceleration_quant_10', 'acceleration_quant_75']",0.35,0.38461538461538464,0.36153846153846153
26535,Decision Tree,forward,5,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_3_2', 'distance_geometry_3_3', 'distance_geometry_4_2', 'distance_geometry_5_1', 'angles_0s', 'angles_mean', 'angles_quant_min', 'angles_quant_10', 'angles_quant_25', 'angles_quant_median', 'angles_quant_75', 'angles_quant_max', 'angles_vcoef', 'angles_mad', 'speed_0s', 'speed_quant_min', 'speed_quant_05', 'speed_quant_90', 'speed_quant_max', 'speed_range', 'speed_sd', 'speed_vcoef', 'speed_kurt', 'acceleration_0s', 'acceleration_meanse', 'acceleration_quant_05', 'acceleration_quant_75', 'acceleration_quant_95', 'acceleration_sd', 'acceleration_mad', 'acceleration_iqr', 'acceleration_kurt']",0.38095238095238093,0.38461538461538464,0.3772893772893772
