seed,model,description,feature_name,technique,f1_macro,f1_micro
42,Logistic Regression,Logistic Regression (Backward Selection),distance_geometry_2_1,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),distance_geometry_2_2,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),distance_geometry_3_2,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),distance_geometry_4_2,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),distance_geometry_4_4,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),distance_geometry_5_3,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),angles_0s,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),angles_quant_25,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),angles_quant_75,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),angles_quant_90,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),angles_quant_95,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),angles_quant_max,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),angles_range,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),angles_sd,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),angles_mad,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),angles_iqr,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),speed_0s,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),speed_mean,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),speed_quant_min,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),acceleration_mean,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),acceleration_meanse,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),acceleration_quant_05,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),acceleration_quant_10,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),acceleration_quant_25,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),acceleration_quant_median,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),acceleration_quant_75,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),acceleration_quant_90,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),acceleration_quant_95,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),acceleration_quant_max,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),acceleration_range,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),acceleration_sd,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),acceleration_vcoef,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),acceleration_mad,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),acceleration_iqr,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),acceleration_skew,Backward,0.7636,0.7727
42,Logistic Regression,Logistic Regression (Backward Selection),acceleration_kurt,Backward,0.7636,0.7727
