seed,model,description,feature_name,technique,f1_macro,f1_micro
42,Logistic Regression,Logistic Regression (Forward Selection),distance_geometry_1_1,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),distance_geometry_2_2,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),distance_geometry_3_1,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),distance_geometry_3_2,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),distance_geometry_3_3,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),distance_geometry_4_1,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),distance_geometry_4_2,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),distance_geometry_4_3,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),distance_geometry_4_4,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),distance_geometry_5_1,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),distance_geometry_5_3,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),distance_geometry_5_4,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),distance_geometry_5_5,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),angles_meanse,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),angles_quant_05,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),angles_quant_10,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),angles_quant_90,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),angles_quant_95,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),speed_0s,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),speed_mean,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),speed_quant_25,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),speed_quant_median,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),speed_quant_75,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),speed_quant_95,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),speed_sd,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),speed_mad,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),speed_iqr,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),acceleration_0s,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),acceleration_mean,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),acceleration_quant_min,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),acceleration_quant_25,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),acceleration_quant_95,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),acceleration_quant_max,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),acceleration_range,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),acceleration_sd,Forward,0.7847,0.7879
42,Logistic Regression,Logistic Regression (Forward Selection),acceleration_vcoef,Forward,0.7847,0.7879
