seed,model,description,fold,features,f1_macro,f1_micro,f1_weighted
14159,Logistic Regression,Forward Selection,1,"['distance_geometry_1_1', 'distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_3_2', 'distance_geometry_3_3', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_4_3', 'distance_geometry_4_4', 'distance_geometry_5_1', 'distance_geometry_5_3', 'distance_geometry_5_4', 'distance_geometry_5_5', 'angles_0s', 'angles_quant_05', 'angles_quant_90', 'angles_quant_95', 'angles_quant_max', 'speed_0s', 'speed_meanse', 'speed_quant_25', 'speed_quant_median', 'speed_sd', 'speed_mad', 'acceleration_0s', 'acceleration_mean', 'acceleration_quant_min', 'acceleration_quant_25', 'acceleration_quant_median', 'acceleration_quant_75', 'acceleration_quant_max', 'acceleration_range', 'acceleration_sd', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_iqr']",0.5238095238095238,0.6428571428571429,0.5578231292517007
14159,Logistic Regression,Forward Selection,2,"['distance_geometry_1_1', 'distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_3_2', 'distance_geometry_3_3', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_4_3', 'distance_geometry_4_4', 'distance_geometry_5_1', 'distance_geometry_5_3', 'distance_geometry_5_4', 'distance_geometry_5_5', 'angles_0s', 'angles_quant_05', 'angles_quant_90', 'angles_quant_95', 'angles_quant_max', 'speed_0s', 'speed_meanse', 'speed_quant_25', 'speed_quant_median', 'speed_sd', 'speed_mad', 'acceleration_0s', 'acceleration_mean', 'acceleration_quant_min', 'acceleration_quant_25', 'acceleration_quant_median', 'acceleration_quant_75', 'acceleration_quant_max', 'acceleration_range', 'acceleration_sd', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_iqr']",0.5125000000000001,0.5384615384615384,0.5384615384615384
14159,Logistic Regression,Forward Selection,3,"['distance_geometry_1_1', 'distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_3_2', 'distance_geometry_3_3', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_4_3', 'distance_geometry_4_4', 'distance_geometry_5_1', 'distance_geometry_5_3', 'distance_geometry_5_4', 'distance_geometry_5_5', 'angles_0s', 'angles_quant_05', 'angles_quant_90', 'angles_quant_95', 'angles_quant_max', 'speed_0s', 'speed_meanse', 'speed_quant_25', 'speed_quant_median', 'speed_sd', 'speed_mad', 'acceleration_0s', 'acceleration_mean', 'acceleration_quant_min', 'acceleration_quant_25', 'acceleration_quant_median', 'acceleration_quant_75', 'acceleration_quant_max', 'acceleration_range', 'acceleration_sd', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_iqr']",0.5357142857142858,0.5384615384615384,0.543956043956044
14159,Logistic Regression,Forward Selection,4,"['distance_geometry_1_1', 'distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_3_2', 'distance_geometry_3_3', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_4_3', 'distance_geometry_4_4', 'distance_geometry_5_1', 'distance_geometry_5_3', 'distance_geometry_5_4', 'distance_geometry_5_5', 'angles_0s', 'angles_quant_05', 'angles_quant_90', 'angles_quant_95', 'angles_quant_max', 'speed_0s', 'speed_meanse', 'speed_quant_25', 'speed_quant_median', 'speed_sd', 'speed_mad', 'acceleration_0s', 'acceleration_mean', 'acceleration_quant_min', 'acceleration_quant_25', 'acceleration_quant_median', 'acceleration_quant_75', 'acceleration_quant_max', 'acceleration_range', 'acceleration_sd', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_iqr']",0.5751633986928104,0.6153846153846154,0.5852187028657616
14159,Logistic Regression,Forward Selection,5,"['distance_geometry_1_1', 'distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_3_2', 'distance_geometry_3_3', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_4_3', 'distance_geometry_4_4', 'distance_geometry_5_1', 'distance_geometry_5_3', 'distance_geometry_5_4', 'distance_geometry_5_5', 'angles_0s', 'angles_quant_05', 'angles_quant_90', 'angles_quant_95', 'angles_quant_max', 'speed_0s', 'speed_meanse', 'speed_quant_25', 'speed_quant_median', 'speed_sd', 'speed_mad', 'acceleration_0s', 'acceleration_mean', 'acceleration_quant_min', 'acceleration_quant_25', 'acceleration_quant_median', 'acceleration_quant_75', 'acceleration_quant_max', 'acceleration_range', 'acceleration_sd', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_iqr']",0.4615384615384615,0.46153846153846156,0.46153846153846156
26535,Logistic Regression,Forward Selection,1,"['distance_geometry_1_1', 'distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_3_2', 'distance_geometry_3_3', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_4_3', 'distance_geometry_4_4', 'distance_geometry_5_1', 'distance_geometry_5_3', 'distance_geometry_5_4', 'distance_geometry_5_5', 'angles_0s', 'angles_quant_05', 'angles_quant_90', 'angles_quant_95', 'angles_quant_max', 'speed_0s', 'speed_meanse', 'speed_quant_25', 'speed_quant_median', 'speed_sd', 'speed_mad', 'acceleration_0s', 'acceleration_mean', 'acceleration_quant_min', 'acceleration_quant_25', 'acceleration_quant_median', 'acceleration_quant_75', 'acceleration_quant_max', 'acceleration_range', 'acceleration_sd', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_iqr']",0.47593582887700536,0.5,0.4919786096256685
26535,Logistic Regression,Forward Selection,2,"['distance_geometry_1_1', 'distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_3_2', 'distance_geometry_3_3', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_4_3', 'distance_geometry_4_4', 'distance_geometry_5_1', 'distance_geometry_5_3', 'distance_geometry_5_4', 'distance_geometry_5_5', 'angles_0s', 'angles_quant_05', 'angles_quant_90', 'angles_quant_95', 'angles_quant_max', 'speed_0s', 'speed_meanse', 'speed_quant_25', 'speed_quant_median', 'speed_sd', 'speed_mad', 'acceleration_0s', 'acceleration_mean', 'acceleration_quant_min', 'acceleration_quant_25', 'acceleration_quant_median', 'acceleration_quant_75', 'acceleration_quant_max', 'acceleration_range', 'acceleration_sd', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_iqr']",0.5112781954887218,0.6153846153846154,0.5633314054366686
26535,Logistic Regression,Forward Selection,3,"['distance_geometry_1_1', 'distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_3_2', 'distance_geometry_3_3', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_4_3', 'distance_geometry_4_4', 'distance_geometry_5_1', 'distance_geometry_5_3', 'distance_geometry_5_4', 'distance_geometry_5_5', 'angles_0s', 'angles_quant_05', 'angles_quant_90', 'angles_quant_95', 'angles_quant_max', 'speed_0s', 'speed_meanse', 'speed_quant_25', 'speed_quant_median', 'speed_sd', 'speed_mad', 'acceleration_0s', 'acceleration_mean', 'acceleration_quant_min', 'acceleration_quant_25', 'acceleration_quant_median', 'acceleration_quant_75', 'acceleration_quant_max', 'acceleration_range', 'acceleration_sd', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_iqr']",0.6388888888888888,0.6923076923076923,0.6709401709401709
26535,Logistic Regression,Forward Selection,4,"['distance_geometry_1_1', 'distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_3_2', 'distance_geometry_3_3', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_4_3', 'distance_geometry_4_4', 'distance_geometry_5_1', 'distance_geometry_5_3', 'distance_geometry_5_4', 'distance_geometry_5_5', 'angles_0s', 'angles_quant_05', 'angles_quant_90', 'angles_quant_95', 'angles_quant_max', 'speed_0s', 'speed_meanse', 'speed_quant_25', 'speed_quant_median', 'speed_sd', 'speed_mad', 'acceleration_0s', 'acceleration_mean', 'acceleration_quant_min', 'acceleration_quant_25', 'acceleration_quant_median', 'acceleration_quant_75', 'acceleration_quant_max', 'acceleration_range', 'acceleration_sd', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_iqr']",0.35,0.38461538461538464,0.36153846153846153
26535,Logistic Regression,Forward Selection,5,"['distance_geometry_1_1', 'distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_3_2', 'distance_geometry_3_3', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_4_3', 'distance_geometry_4_4', 'distance_geometry_5_1', 'distance_geometry_5_3', 'distance_geometry_5_4', 'distance_geometry_5_5', 'angles_0s', 'angles_quant_05', 'angles_quant_90', 'angles_quant_95', 'angles_quant_max', 'speed_0s', 'speed_meanse', 'speed_quant_25', 'speed_quant_median', 'speed_sd', 'speed_mad', 'acceleration_0s', 'acceleration_mean', 'acceleration_quant_min', 'acceleration_quant_25', 'acceleration_quant_median', 'acceleration_quant_75', 'acceleration_quant_max', 'acceleration_range', 'acceleration_sd', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_iqr']",0.6153846153846153,0.6153846153846154,0.6153846153846153
