seed,model,description,fold,features,f1_macro,f1_micro,f1_weighted
14159,MLP,forward,1,"['distance_geometry_1_1', 'distance_geometry_4_4', 'distance_geometry_5_3', 'angles_quant_min', 'angles_quant_05', 'angles_quant_10', 'angles_quant_median', 'angles_sd', 'angles_mad', 'angles_skew', 'speed_0s', 'speed_meanse', 'speed_quant_05', 'speed_quant_10', 'speed_quant_25', 'speed_quant_median', 'speed_quant_75', 'speed_quant_90', 'speed_quant_95', 'speed_sd', 'speed_vcoef', 'speed_iqr', 'speed_skew', 'speed_kurt', 'acceleration_0s', 'acceleration_quant_min', 'acceleration_quant_05', 'acceleration_quant_25', 'acceleration_quant_median', 'acceleration_quant_max', 'acceleration_range', 'acceleration_sd', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_skew', 'acceleration_kurt']",0.41666666666666663,0.42857142857142855,0.42857142857142855
14159,MLP,forward,2,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_3_1', 'angles_0s', 'angles_mean', 'angles_meanse', 'angles_quant_min', 'angles_quant_25', 'angles_quant_median', 'angles_sd', 'angles_mad', 'angles_iqr', 'angles_skew', 'angles_kurt', 'speed_0s', 'speed_meanse', 'speed_quant_10', 'speed_quant_75', 'speed_quant_90', 'speed_quant_95', 'speed_quant_max', 'speed_range', 'speed_vcoef', 'speed_mad', 'speed_skew', 'speed_kurt', 'acceleration_0s', 'acceleration_mean', 'acceleration_meanse', 'acceleration_quant_min', 'acceleration_quant_05', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_iqr', 'acceleration_skew', 'acceleration_kurt']",0.5357142857142857,0.5384615384615384,0.5439560439560439
14159,MLP,forward,3,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_3_3', 'distance_geometry_4_2', 'angles_0s', 'angles_mean', 'angles_meanse', 'angles_quant_min', 'angles_quant_05', 'angles_quant_10', 'angles_quant_median', 'angles_quant_75', 'angles_quant_90', 'angles_sd', 'angles_vcoef', 'angles_mad', 'angles_iqr', 'angles_skew', 'speed_0s', 'speed_mean', 'speed_quant_min', 'speed_quant_05', 'speed_quant_95', 'speed_vcoef', 'speed_iqr', 'speed_kurt', 'acceleration_mean', 'acceleration_quant_min', 'acceleration_quant_05', 'acceleration_quant_10', 'acceleration_sd', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_iqr', 'acceleration_skew', 'acceleration_kurt']",0.5751633986928104,0.6153846153846154,0.6053293112116642
14159,MLP,forward,4,"['distance_geometry_1_1', 'distance_geometry_2_1', 'angles_mean', 'angles_meanse', 'angles_quant_10', 'angles_quant_25', 'angles_quant_75', 'angles_quant_90', 'angles_quant_95', 'angles_sd', 'angles_vcoef', 'angles_mad', 'angles_iqr', 'angles_skew', 'speed_quant_median', 'speed_quant_75', 'speed_quant_90', 'speed_quant_95', 'speed_quant_max', 'speed_range', 'speed_sd', 'speed_vcoef', 'speed_mad', 'speed_iqr', 'speed_skew', 'speed_kurt', 'acceleration_0s', 'acceleration_mean', 'acceleration_meanse', 'acceleration_quant_min', 'acceleration_quant_05', 'acceleration_quant_10', 'acceleration_quant_75', 'acceleration_quant_max', 'acceleration_vcoef', 'acceleration_kurt']",0.4484848484848485,0.46153846153846156,0.455011655011655
14159,MLP,forward,5,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_2_2', 'angles_mean', 'angles_meanse', 'angles_quant_min', 'angles_quant_05', 'angles_quant_25', 'angles_quant_median', 'angles_quant_75', 'angles_quant_90', 'angles_quant_95', 'angles_sd', 'angles_mad', 'angles_iqr', 'speed_meanse', 'speed_quant_min', 'speed_quant_median', 'speed_quant_95', 'speed_vcoef', 'speed_mad', 'speed_iqr', 'speed_kurt', 'acceleration_0s', 'acceleration_mean', 'acceleration_meanse', 'acceleration_quant_min', 'acceleration_quant_05', 'acceleration_quant_max', 'acceleration_range', 'acceleration_sd', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_iqr', 'acceleration_skew', 'acceleration_kurt']",0.606060606060606,0.6153846153846154,0.6107226107226107
26535,MLP,forward,1,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_4_2', 'distance_geometry_4_3', 'distance_geometry_5_4', 'distance_geometry_5_5', 'angles_mean', 'angles_meanse', 'angles_quant_min', 'angles_quant_05', 'angles_quant_10', 'angles_quant_25', 'angles_quant_95', 'angles_sd', 'angles_vcoef', 'angles_mad', 'angles_iqr', 'angles_skew', 'angles_kurt', 'speed_mean', 'speed_meanse', 'speed_quant_25', 'speed_quant_median', 'speed_quant_90', 'speed_vcoef', 'speed_mad', 'speed_iqr', 'speed_kurt', 'acceleration_0s', 'acceleration_mean', 'acceleration_quant_05', 'acceleration_quant_max', 'acceleration_range', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_skew']",0.5238095238095237,0.6428571428571429,0.5578231292517006
26535,MLP,forward,2,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_4_1', 'distance_geometry_4_2', 'distance_geometry_4_3', 'distance_geometry_5_2', 'distance_geometry_5_3', 'distance_geometry_5_5', 'angles_meanse', 'angles_skew', 'angles_kurt', 'speed_0s', 'speed_mean', 'speed_quant_min', 'speed_quant_05', 'speed_quant_10', 'speed_sd', 'speed_vcoef', 'speed_kurt', 'acceleration_0s', 'acceleration_mean', 'acceleration_meanse', 'acceleration_quant_min', 'acceleration_quant_05', 'acceleration_quant_25', 'acceleration_quant_median', 'acceleration_quant_max', 'acceleration_range', 'acceleration_sd', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_iqr', 'acceleration_skew', 'acceleration_kurt']",0.5751633986928104,0.6153846153846154,0.6053293112116642
26535,MLP,forward,3,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_2_2', 'angles_mean', 'angles_quant_05', 'angles_quant_25', 'angles_quant_median', 'angles_quant_75', 'angles_quant_90', 'angles_quant_95', 'angles_quant_max', 'angles_sd', 'angles_vcoef', 'angles_iqr', 'speed_quant_75', 'speed_quant_90', 'speed_quant_95', 'speed_quant_max', 'speed_range', 'speed_sd', 'speed_vcoef', 'speed_mad', 'speed_iqr', 'speed_skew', 'speed_kurt', 'acceleration_0s', 'acceleration_mean', 'acceleration_meanse', 'acceleration_quant_min', 'acceleration_quant_05', 'acceleration_range', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_iqr', 'acceleration_skew', 'acceleration_kurt']",0.4583333333333333,0.5384615384615384,0.5064102564102564
26535,MLP,forward,4,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_2_2', 'distance_geometry_3_1', 'distance_geometry_3_2', 'distance_geometry_5_2', 'angles_mean', 'angles_quant_25', 'angles_quant_75', 'angles_quant_90', 'angles_sd', 'angles_mad', 'angles_iqr', 'angles_skew', 'angles_kurt', 'speed_0s', 'speed_quant_max', 'speed_range', 'speed_sd', 'speed_vcoef', 'speed_mad', 'speed_iqr', 'speed_skew', 'speed_kurt', 'acceleration_0s', 'acceleration_mean', 'acceleration_meanse', 'acceleration_quant_min', 'acceleration_quant_05', 'acceleration_quant_10', 'acceleration_quant_max', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_iqr', 'acceleration_skew', 'acceleration_kurt']",0.5357142857142857,0.5384615384615384,0.5384615384615384
26535,MLP,forward,5,"['distance_geometry_1_1', 'distance_geometry_2_1', 'distance_geometry_2_2', 'distance_geometry_5_1', 'angles_mean', 'angles_meanse', 'angles_quant_90', 'angles_quant_95', 'angles_quant_max', 'angles_sd', 'angles_vcoef', 'angles_mad', 'angles_iqr', 'angles_skew', 'speed_0s', 'speed_mean', 'speed_meanse', 'speed_quant_median', 'speed_quant_75', 'speed_quant_90', 'speed_quant_95', 'speed_quant_max', 'speed_sd', 'speed_vcoef', 'speed_mad', 'speed_iqr', 'speed_skew', 'speed_kurt', 'acceleration_0s', 'acceleration_mean', 'acceleration_meanse', 'acceleration_quant_min', 'acceleration_vcoef', 'acceleration_mad', 'acceleration_skew', 'acceleration_kurt']",0.46153846153846156,0.46153846153846156,0.46153846153846156
