seed,model,description,feature_name,technique,f1_macro,f1_micro
42,Random Forest,Random Forest (Forward Selection),distance_geometry_2_2,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),distance_geometry_3_2,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),distance_geometry_4_3,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),distance_geometry_4_4,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),distance_geometry_5_4,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),angles_0s,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),angles_meanse,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),angles_quant_05,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),angles_quant_25,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),angles_quant_median,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),angles_quant_95,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),angles_quant_max,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),angles_vcoef,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),angles_skew,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),speed_0s,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),speed_meanse,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),speed_quant_10,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),speed_quant_25,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),speed_quant_median,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),speed_quant_75,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),speed_quant_90,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),speed_vcoef,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),speed_mad,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),speed_iqr,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),acceleration_0s,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),acceleration_meanse,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),acceleration_quant_05,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),acceleration_quant_10,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),acceleration_quant_25,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),acceleration_quant_75,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),acceleration_quant_95,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),acceleration_quant_max,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),acceleration_sd,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),acceleration_mad,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),acceleration_iqr,Forward,1.0,1.0
42,Random Forest,Random Forest (Forward Selection),acceleration_kurt,Forward,1.0,1.0
