model,seed,fold,description,n_features,best_score,best_params
Logistic Regression,14159,1,combo_distance_geometry+angles,34,0.583009768009768,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
Logistic Regression,14159,2,combo_distance_geometry+angles,34,0.583009768009768,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
Logistic Regression,14159,3,combo_distance_geometry+angles,34,0.583009768009768,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
Logistic Regression,14159,4,combo_distance_geometry+angles,34,0.583009768009768,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
Logistic Regression,14159,5,combo_distance_geometry+angles,34,0.583009768009768,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
Logistic Regression,26535,1,combo_distance_geometry+angles,34,0.583009768009768,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
Logistic Regression,26535,2,combo_distance_geometry+angles,34,0.583009768009768,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
Logistic Regression,26535,3,combo_distance_geometry+angles,34,0.583009768009768,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
Logistic Regression,26535,4,combo_distance_geometry+angles,34,0.583009768009768,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
Logistic Regression,26535,5,combo_distance_geometry+angles,34,0.583009768009768,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
Logistic Regression,89793,1,combo_distance_geometry+angles,34,0.583009768009768,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
Logistic Regression,89793,2,combo_distance_geometry+angles,34,0.583009768009768,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
Logistic Regression,89793,3,combo_distance_geometry+angles,34,0.583009768009768,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
Logistic Regression,89793,4,combo_distance_geometry+angles,34,0.583009768009768,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
Logistic Regression,89793,5,combo_distance_geometry+angles,34,0.583009768009768,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
Logistic Regression,23846,1,combo_distance_geometry+angles,34,0.583009768009768,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
Logistic Regression,23846,2,combo_distance_geometry+angles,34,0.583009768009768,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
Logistic Regression,23846,3,combo_distance_geometry+angles,34,0.583009768009768,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
Logistic Regression,23846,4,combo_distance_geometry+angles,34,0.583009768009768,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
Logistic Regression,23846,5,combo_distance_geometry+angles,34,0.583009768009768,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
