selection_model,eval_model,description,n_features,best_score,best_params
Logistic Regression,Logistic Regression,distance_geometry+angles,34,0.5714484208601855,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
Logistic Regression,Logistic Regression,angles,19,0.5781857358327946,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'saga'}"
Logistic Regression,Logistic Regression,distance_geometry+angles+acceleration,53,0.5218166147577913,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
Logistic Regression,Logistic Regression,distance_geometry,15,0.6095892068028291,"{'clf__C': 1.0, 'clf__penalty': 'l2', 'clf__solver': 'saga'}"
Logistic Regression,Logistic Regression,angles+speed+acceleration,57,0.5950915750915751,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'saga'}"
Logistic Regression,Logistic Regression,distance_geometry+angles+speed,53,0.5707851797325482,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'saga'}"
Logistic Regression,Logistic Regression,angles+acceleration,38,0.5976748741454625,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
Logistic Regression,Logistic Regression,distance_geometry+angles+speed+acceleration,72,0.5347619047619048,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
Logistic Regression,Logistic Regression,angles+speed,38,0.5243525102348631,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
Logistic Regression,Logistic Regression,distance_geometry+speed,34,0.5826592688357395,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'saga'}"
Logistic Regression,Logistic Regression,distance_geometry+speed+acceleration,53,0.5294634776987718,"{'clf__C': 1.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
Logistic Regression,Logistic Regression,distance_geometry+acceleration,34,0.4889607760660393,"{'clf__C': 0.1, 'clf__penalty': 'l2', 'clf__solver': 'saga'}"
Logistic Regression,Logistic Regression,speed,19,0.4843656343656343,"{'clf__C': 1.0, 'clf__penalty': 'l2', 'clf__solver': 'saga'}"
Logistic Regression,Logistic Regression,speed+acceleration,38,0.5019476601829542,"{'clf__C': 1.0, 'clf__penalty': 'l1', 'clf__solver': 'saga'}"
Logistic Regression,Logistic Regression,acceleration,19,0.48364217481864535,"{'clf__C': 1.0, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
