selection_model,eval_model,description,n_features,best_score,best_params
Random Forest,Random Forest,acceleration,19,0.573186943775179,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__n_estimators': 100}"
Random Forest,Random Forest,speed+acceleration,38,0.545615169144581,"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__n_estimators': 100}"
Random Forest,Random Forest,distance_geometry,15,0.6111095440507205,"{'clf__max_depth': None, 'clf__max_features': 16, 'clf__n_estimators': 100}"
Random Forest,Random Forest,distance_geometry+acceleration,34,0.5439539648517975,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__n_estimators': 100}"
Random Forest,Random Forest,angles+acceleration,38,0.5568411980176686,"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__n_estimators': 100}"
Random Forest,Random Forest,distance_geometry+speed+acceleration,53,0.5497364073834662,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__n_estimators': 1000}"
Random Forest,Random Forest,angles+speed+acceleration,57,0.5453413253413253,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__n_estimators': 1000}"
Random Forest,Random Forest,distance_geometry+angles,34,0.6387545787545788,"{'clf__max_depth': None, 'clf__max_features': 16, 'clf__n_estimators': 100}"
Random Forest,Random Forest,speed,19,0.4948633822318033,"{'clf__max_depth': None, 'clf__max_features': 16, 'clf__n_estimators': 1000}"
Random Forest,Random Forest,angles+speed,38,0.5471184955395482,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__n_estimators': 100}"
Random Forest,Random Forest,distance_geometry+angles+speed+acceleration,72,0.5682115923292393,"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__n_estimators': 100}"
Random Forest,Random Forest,distance_geometry+angles+acceleration,53,0.5516194916194916,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__n_estimators': 100}"
Random Forest,Random Forest,angles,19,0.6191271473624415,"{'clf__max_depth': None, 'clf__max_features': 16, 'clf__n_estimators': 1000}"
Random Forest,Random Forest,distance_geometry+angles+speed,53,0.5429542387437125,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__n_estimators': 1000}"
Random Forest,Random Forest,distance_geometry+speed,34,0.5333308195072901,"{'clf__max_depth': None, 'clf__max_features': 16, 'clf__n_estimators': 500}"
