selection_model,eval_model,description,n_features,best_score,best_params
XGBoost,XGBoost,distance_geometry+speed,34,0.6202247700699713,"{'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__n_estimators': 500, 'clf__subsample': 0.8}"
XGBoost,XGBoost,acceleration,19,0.5573144502556266,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 500, 'clf__subsample': 1.0}"
XGBoost,XGBoost,speed,19,0.6020902729881057,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 100, 'clf__subsample': 1.0}"
XGBoost,XGBoost,speed+acceleration,38,0.578003663003663,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 1000, 'clf__subsample': 0.8}"
XGBoost,XGBoost,distance_geometry+speed+acceleration,53,0.6304891187244129,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 500, 'clf__subsample': 1.0}"
XGBoost,XGBoost,distance_geometry+angles+speed,53,0.5993857123268888,"{'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 1000, 'clf__subsample': 0.8}"
XGBoost,XGBoost,distance_geometry+angles+speed+acceleration,72,0.6510442773600669,"{'clf__learning_rate': 0.01, 'clf__max_depth': 6, 'clf__n_estimators': 100, 'clf__subsample': 1.0}"
XGBoost,XGBoost,distance_geometry+angles+acceleration,53,0.6426337336554054,"{'clf__learning_rate': 0.01, 'clf__max_depth': 6, 'clf__n_estimators': 500, 'clf__subsample': 1.0}"
XGBoost,XGBoost,distance_geometry+acceleration,34,0.6061434265768632,"{'clf__learning_rate': 0.01, 'clf__max_depth': 6, 'clf__n_estimators': 100, 'clf__subsample': 1.0}"
XGBoost,XGBoost,angles+speed+acceleration,57,0.6419729290317525,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 1000, 'clf__subsample': 1.0}"
XGBoost,XGBoost,angles,19,0.6044271517955728,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 1000, 'clf__subsample': 1.0}"
XGBoost,XGBoost,angles+acceleration,38,0.588939393939394,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 1000, 'clf__subsample': 1.0}"
XGBoost,XGBoost,distance_geometry,15,0.6525052656322006,"{'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 500, 'clf__subsample': 1.0}"
XGBoost,XGBoost,angles+speed,38,0.6236996336996337,"{'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 1000, 'clf__subsample': 0.8}"
XGBoost,XGBoost,distance_geometry+angles,34,0.618888823594706,"{'clf__learning_rate': 0.01, 'clf__max_depth': 6, 'clf__n_estimators': 500, 'clf__subsample': 0.8}"
