model,combination,mean_f1_weighted
XGBoost,speed+acceleration,0.553507083731542
XGBoost,distance_geometry+speed,0.5466410202284815
XGBoost,acceleration,0.539273341038047
XGBoost,distance_geometry+angles,0.5289100755625523
XGBoost,distance_geometry,0.5256740202521937
XGBoost,distance_geometry+speed+acceleration,0.5224689427359707
XGBoost,distance_geometry+angles+acceleration,0.5166787422244079
XGBoost,speed,0.5166464907641378
XGBoost,distance_geometry+angles+speed,0.5099895937395937
XGBoost,distance_geometry+angles+speed+acceleration,0.5078572163130988
XGBoost,distance_geometry+acceleration,0.49845754821374005
XGBoost,angles+speed+acceleration,0.4966895544256225
XGBoost,angles,0.4790117871464621
XGBoost,angles+speed,0.47491521163734796
XGBoost,angles+acceleration,0.47160873526198605
