model,combination,mean_f1_weighted
Logistic Regression,distance_geometry+angles,0.5825391683479918
Logistic Regression,angles,0.5666599396475557
Logistic Regression,distance_geometry+angles+acceleration,0.5440627166091563
Logistic Regression,distance_geometry,0.5296461450486218
Logistic Regression,angles+speed+acceleration,0.5280429696722265
Logistic Regression,distance_geometry+angles+speed,0.5254772553727661
Logistic Regression,angles+acceleration,0.5148544433722451
Logistic Regression,distance_geometry+angles+speed+acceleration,0.5095844884389775
Logistic Regression,angles+speed,0.5073839211184412
Logistic Regression,distance_geometry+speed,0.4815401428636723
Logistic Regression,distance_geometry+speed+acceleration,0.47901674735653066
Logistic Regression,distance_geometry+acceleration,0.4549284697930209
Logistic Regression,speed,0.44976354527825124
Logistic Regression,speed+acceleration,0.4487837832961672
Logistic Regression,acceleration,0.43046702867136294
