model,combination,mean_f1_weighted
XGBoost,distance_geometry+speed,0.5883000900028763
XGBoost,acceleration,0.5585113501909167
XGBoost,speed+acceleration,0.5450480835813654
XGBoost,speed,0.5352690567086853
XGBoost,distance_geometry+angles+speed,0.5324592933726062
XGBoost,distance_geometry+speed+acceleration,0.5229787541320049
XGBoost,distance_geometry+angles+acceleration,0.5200433626401119
XGBoost,distance_geometry+angles+speed+acceleration,0.5136732956585898
XGBoost,angles+speed+acceleration,0.5113988505474573
XGBoost,distance_geometry+acceleration,0.5091206016206017
XGBoost,angles,0.5070958418946035
XGBoost,distance_geometry+angles,0.5042154521604987
XGBoost,distance_geometry,0.4999523008810935
XGBoost,angles+acceleration,0.49901120937885635
XGBoost,angles+speed,0.49131399259495234
